INFO:root:2025-08-09 19:38:38.315114 | Input: [{'MedInc': 8.3252, 'HouseAge': 41.0, 'AveRooms': 6.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 2.5555555555555554, 'Latitude': 37.88, 'Longitude': 122.23}] | MedHouseVal_Prediction: 1.375
INFO:root:2025-08-09 19:38:51.474133 | Input: [{'MedInc': 8.3252, 'HouseAge': 41.0, 'AveRooms': 6.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 2.5555555555555554, 'Latitude': 37.88, 'Longitude': -122.23}] | MedHouseVal_Prediction: 1.375
INFO:root:2025-08-09 19:51:32.547183 | Input: [{'MedInc': 8.3252, 'HouseAge': 41.0, 'AveRooms': 6.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 2.5555555555555554, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-09 19:52:22.639553 | Input: [{'MedInc': 12.3252, 'HouseAge': 22.0, 'AveRooms': 8.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 6.555555555555555, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-09 19:52:25.911805 | Input: [{'MedInc': 12.3252, 'HouseAge': 22.0, 'AveRooms': 8.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 6.555555555555555, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-09 19:52:39.991323 | Input: [{'MedInc': 12.3252, 'HouseAge': 22.0, 'AveRooms': 8.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 6.555555555555555, 'Latitude': 27.88, 'Longitude': 102.23}] | Prediction: 1.375
INFO:root:2025-08-09 19:52:45.834017 | Input: [{'MedInc': 12.3252, 'HouseAge': 22.0, 'AveRooms': 8.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 6.555555555555555, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 1.375
INFO:root:2025-08-09 19:52:50.197155 | Input: [{'MedInc': 12.3252, 'HouseAge': 22.0, 'AveRooms': 8.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 6.555555555555555, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 1.375
INFO:root:2025-08-09 19:52:50.726267 | Input: [{'MedInc': 12.3252, 'HouseAge': 22.0, 'AveRooms': 8.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 6.555555555555555, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 1.375
INFO:root:2025-08-09 20:02:29.034261 | Input: [{'MedInc': 2.32, 'HouseAge': 22.0, 'AveRooms': 8.9841, 'AveBedrms': 1.0238, 'Population': 322.0, 'AveOccup': 6.5554, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 2.819
INFO:root:2025-08-09 20:02:53.831559 | Input: [{'MedInc': 2.32, 'HouseAge': 22.0, 'AveRooms': 8.9841, 'AveBedrms': 1.0238, 'Population': 322.0, 'AveOccup': 6.5554, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 2.819
INFO:root:2025-08-09 20:02:54.046504 | Input: [{'MedInc': 2.32, 'HouseAge': 22.0, 'AveRooms': 8.9841, 'AveBedrms': 1.0238, 'Population': 322.0, 'AveOccup': 6.5554, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 2.819
INFO:root:2025-08-09 20:02:54.243970 | Input: [{'MedInc': 2.32, 'HouseAge': 22.0, 'AveRooms': 8.9841, 'AveBedrms': 1.0238, 'Population': 322.0, 'AveOccup': 6.5554, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 2.819
INFO:root:2025-08-09 20:02:54.441117 | Input: [{'MedInc': 2.32, 'HouseAge': 22.0, 'AveRooms': 8.9841, 'AveBedrms': 1.0238, 'Population': 322.0, 'AveOccup': 6.5554, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 2.819
INFO:root:2025-08-09 20:02:54.641140 | Input: [{'MedInc': 2.32, 'HouseAge': 22.0, 'AveRooms': 8.9841, 'AveBedrms': 1.0238, 'Population': 322.0, 'AveOccup': 6.5554, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 2.819
INFO:root:2025-08-09 20:02:54.956496 | Input: [{'MedInc': 2.32, 'HouseAge': 22.0, 'AveRooms': 8.9841, 'AveBedrms': 1.0238, 'Population': 322.0, 'AveOccup': 6.5554, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 2.819
INFO:root:2025-08-09 20:03:05.786524 | Input: [{'MedInc': 2.32, 'HouseAge': 11.0, 'AveRooms': 8.9841, 'AveBedrms': 1.0238, 'Population': 322.0, 'AveOccup': 6.5554, 'Latitude': 27.88, 'Longitude': -102.23}] | Prediction: 2.819
INFO:root:2025-08-09 20:03:58.733429 | Input: [{'MedInc': 2.32, 'HouseAge': 11.0, 'AveRooms': 8.95382841, 'AveBedrms': 1.234927830238, 'Population': 322.0, 'AveOccup': 8.5554, 'Latitude': 237.88, 'Longitude': -122.23}] | Prediction: 2.819
INFO:root:2025-08-09 20:04:18.742501 | Input: [{'MedInc': 6.32, 'HouseAge': 11.0, 'AveRooms': 4.95382841, 'AveBedrms': 1.234927830238, 'Population': 322.0, 'AveOccup': 8.5554, 'Latitude': 37.88, 'Longitude': -122.23}] | Prediction: 1.375
INFO:root:2025-08-09 20:06:28.763555 | Input: [{'MedInc': 8.3252, 'HouseAge': 41.0, 'AveRooms': 6.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 2.5555555555555554, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-09 20:07:05.293311 | Input: [{'MedInc': 4.3252, 'HouseAge': 41.0, 'AveRooms': 4.84, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 2.5, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-09 20:11:57.436490 | Input: [{'MedInc': 4.3252, 'HouseAge': 41.0, 'AveRooms': 4.84, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 2.5, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-10 08:39:23.059757 | Input: [{'MedInc': 8.3252, 'HouseAge': 41.0, 'AveRooms': 6.984126984126984, 'AveBedrms': 1.0238095238095237, 'Population': 322.0, 'AveOccup': 2.5555555555555554, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-10 08:42:49.304663 | Input: [{'MedInc': 10.52, 'HouseAge': 41.0, 'AveRooms': 6.94, 'AveBedrms': 5.07, 'Population': 322.0, 'AveOccup': 3.5, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-10 08:42:54.780132 | Input: [{'MedInc': 10.52, 'HouseAge': 41.0, 'AveRooms': 6.94, 'AveBedrms': 5.07, 'Population': 322.0, 'AveOccup': 3.5, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-10 09:47:16.022219 | Input: [{'MedInc': 10.52, 'HouseAge': 41.0, 'AveRooms': 6.94, 'AveBedrms': 5.07, 'Population': 322.0, 'AveOccup': 3.5, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-10 09:47:36.864361 | Input: [{'MedInc': 10.52, 'HouseAge': 41.0, 'AveRooms': 6.94, 'AveBedrms': 5.07, 'Population': 322.0, 'AveOccup': 3.5, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
INFO:root:2025-08-10 15:18:40.265017 | Input: [{'MedInc': 10.52, 'HouseAge': 41.0, 'AveRooms': 6.94, 'AveBedrms': 5.07, 'Population': 322.0, 'AveOccup': 3.5, 'Latitude': 37.88, 'Longitude': 122.23}] | Prediction: 1.375
